response_id,company,employee_id,title,role_level,team_segment,location,tenure_band,tenure_months,response_date,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5,D1,D2,D3,D4,D5,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,H1,H2,H3,H4,I1,I2,I3,I4,J1,J2,J3,J4,K1,K2,K3,K4,K5,L1,L2,L3
DT-2026Q2-0011,DemoTech,DT-10011,Enterprise AE,Individual Contributor,Enterprise,Remote — US West,1–2 years,24,2025-04-03,2,3,3,5,3,5,5,2,3,4,2,3,4,4,4,3,2,3,2,5,3,3,4,4,3,3,5,2,1,3,2,3,3,5,3,4,3,2,3,3,3,4,2,4,Deal desk gives different pricing guidance depending on who is on shift.,Build demo environment stability into our own dogfooding SLA.,
DT-2026Q2-0012,DemoTech,DT-10012,Commercial AE,Individual Contributor,Commercial,"San Francisco, CA (HQ)",1–2 years,16,2025-04-08,3,3,4,2,3,3,4,4,4,5,3,5,3,4,2,4,3,4,3,4,4,4,4,4,4,3,4,4,3,1,2,3,4,4,4,4,5,4,3,5,3,4,5,5,Legal review on enterprise deals takes 2–3 weeks and champions go dark.,Build demo environment stability into our own dogfooding SLA.,We have six different definitions of 'qualified' depending on who you ask.
DT-2026Q2-0013,DemoTech,DT-10013,Mid-Market AE,Individual Contributor,Mid-Market,"Austin, TX",5+ years,77,2025-05-04,4,3,5,4,4,4,4,4,4,4,4,2,4,3,3,3,2,4,4,3,3,3,3,2,4,4,4,3,3,3,4,4,3,3,4,5,3,3,3,2,4,3,3,2,Inbound volume dropped after we changed the website — outbound isn't picking up the slack.,Publish a single source of truth for stage definitions and enforce it in Gong.,
DT-2026Q2-0014,DemoTech,DT-10014,Regional Sales Director,Director+,Enterprise,"San Francisco, CA (HQ)",6–12 months,9,2025-05-15,4,4,3,2,3,4,4,4,3,4,3,4,5,3,2,2,4,3,3,4,3,2,2,2,4,5,3,2,3,3,2,4,4,3,3,3,5,3,3,3,3,5,4,3,Legal review on enterprise deals takes 2–3 weeks and champions go dark.,Simplify the comp plan to one page with worked examples.,Territory carve-up left me with a lot of long-dormant accounts and no warm inbound.
DT-2026Q2-0015,DemoTech,DT-10015,BDR,Individual Contributor,Mid-Market,"Toronto, Canada",2–5 years,56,2025-05-25,4,4,4,4,4,3,5,4,4,3,4,4,3,4,4,3,5,3,4,5,3,5,2,4,3,4,4,4,2,2,3,4,4,2,3,5,4,4,4,2,3,4,4,3,Deal desk gives different pricing guidance depending on who is on shift.,Simplify the comp plan to one page with worked examples.,
DT-2026Q2-0016,DemoTech,DT-10016,Commercial AE,Individual Contributor,Commercial,"Toronto, Canada",5+ years,105,2025-04-19,2,5,3,4,2,4,2,5,4,3,5,5,5,5,3,4,4,3,3,3,5,5,4,4,4,3,3,3,4,4,3,3,5,3,4,3,3,3,4,5,4,5,5,5,Stage definitions change every quarter and my manager interprets them differently than RevOps.,Give remote reps the same GTM briefings HQ gets in hallway conversations.,Forecasting feels like a political exercise instead of an honest pipeline review.
DT-2026Q2-0017,DemoTech,DT-10017,Sales Engineer,Individual Contributor,Enterprise,"San Francisco, CA (HQ)",1–2 years,13,2025-05-12,3,4,3,3,4,3,5,5,3,4,4,3,3,4,4,3,4,2,3,3,3,4,2,3,3,4,4,2,2,3,3,5,1,2,3,5,3,3,2,3,4,4,3,3,Deal desk gives different pricing guidance depending on who is on shift.,Refresh ROI and CFO content for mid-market — stop making AEs rebuild decks.,All-hands celebrates product velocity; sellers are drowning in half-baked releases.
DT-2026Q2-0018,DemoTech,DT-10018,Commercial AE,Individual Contributor,Commercial,"Denver, CO",2–5 years,33,2025-04-21,3,3,3,4,4,4,4,5,4,4,1,3,2,3,4,3,4,2,4,2,3,4,4,4,5,3,3,1,5,3,2,5,5,4,2,4,3,3,5,2,4,5,5,4,Competitive battlecards are three months stale the moment a competitor ships something.,Staff one more SE per Enterprise pod for competitive bake-offs.,Security questionnaire responses are copy-paste from last year and buyers catch it.
DT-2026Q2-0019,DemoTech,DT-10019,Sales Engineer,Individual Contributor,Enterprise,"London, UK",2–5 years,32,2025-04-02,4,4,3,4,4,4,3,4,4,2,2,4,4,4,4,4,2,4,4,4,2,4,4,4,3,3,5,3,2,3,4,5,2,4,3,3,5,4,4,4,4,4,4,3,SE coverage is thin — I wait three days for a technical win on competitive deals.,Run monthly live objection labs instead of async enablement modules.,
DT-2026Q2-0020,DemoTech,DT-10020,Sales Manager,Front-line Manager,Enterprise,"San Francisco, CA (HQ)",6–12 months,8,2025-04-18,3,4,3,3,5,4,4,5,4,4,3,2,3,2,4,2,4,4,3,3,4,2,2,3,4,4,3,3,2,2,3,3,4,4,4,4,3,3,2,5,3,4,3,3,SE coverage is thin — I wait three days for a technical win on competitive deals.,"Tighten MQL criteria — fewer leads, higher quality.",Inbound volume dropped after we changed the website — outbound isn't picking up the slack.
DT-2026Q2-0021,DemoTech,DT-10021,Mid-Market AE,Individual Contributor,Mid-Market,Remote — US East,1–2 years,24,2025-04-11,2,4,3,4,4,4,4,3,5,4,4,2,2,3,3,3,2,4,3,1,3,1,3,3,3,3,3,2,4,4,2,4,2,3,5,1,4,2,3,3,5,3,3,4,Partner referrals arrive with no context and unrealistic close timelines.,Run monthly live objection labs instead of async enablement modules.,Inbound volume dropped after we changed the website — outbound isn't picking up the slack.
DT-2026Q2-0022,DemoTech,DT-10022,Sales Engineer,Individual Contributor,Enterprise,Remote — Canada,2–5 years,29,2025-04-24,3,3,3,3,3,4,3,5,4,3,4,4,4,4,3,2,3,2,2,4,3,3,3,4,3,3,3,2,2,3,3,3,4,4,3,4,5,4,4,4,3,3,4,2,Our demo platform is genuinely best-in-class — buyers feel it on the first call.,"Tighten MQL criteria — fewer leads, higher quality.",Our demo platform is genuinely best-in-class — buyers feel it on the first call.
DT-2026Q2-0023,DemoTech,DT-10023,CRO,Executive,Corporate / GTM,Remote — Canada,1–2 years,19,2025-05-10,4,4,3,5,3,3,5,4,4,4,3,3,3,4,3,4,4,4,4,4,4,3,3,2,4,3,4,4,2,2,3,3,4,3,4,2,2,4,3,3,3,3,4,4,RevOps fixed forecasting dashboards this quarter and it saved me hours every week.,Cap legal review SLA at 5 business days for deals under $150K ARR.,
DT-2026Q2-0024,DemoTech,DT-10024,Enterprise AE,Individual Contributor,Enterprise,"Toronto, Canada",1–2 years,17,2025-05-15,4,4,3,5,4,4,4,3,2,3,4,3,4,3,4,4,1,3,2,4,5,1,5,4,5,4,5,3,2,2,3,3,4,2,5,4,3,4,3,3,4,5,5,3,Marketing promises 'demo transformation in 30 days' and buyers expect magic on call one.,Build demo environment stability into our own dogfooding SLA.,
DT-2026Q2-0025,DemoTech,DT-10025,Solutions Consultant,Individual Contributor,Mid-Market,"London, UK",5+ years,105,2025-05-05,2,3,3,4,4,2,4,3,4,3,2,3,3,4,3,4,4,5,3,4,4,4,4,3,4,2,4,3,2,4,4,4,4,5,4,2,4,4,3,4,4,5,3,5,Competitive battlecards are three months stale the moment a competitor ships something.,Cap legal review SLA at 5 business days for deals under $150K ARR.,
DT-2026Q2-0026,DemoTech,DT-10026,Sales Manager,Front-line Manager,Commercial,"Toronto, Canada",2–5 years,53,2025-05-25,4,5,2,3,4,3,5,5,3,3,3,4,5,2,3,5,3,5,4,4,4,3,3,4,4,4,3,3,4,3,5,4,4,3,4,3,3,5,4,3,4,3,4,4,Competitive battlecards are three months stale the moment a competitor ships something.,Simplify the comp plan to one page with worked examples.,
DT-2026Q2-0027,DemoTech,DT-10027,Enterprise AE,Individual Contributor,Enterprise,Remote — US West,0–6 months,3,2025-04-10,4,3,2,2,5,4,3,3,3,3,3,2,4,3,2,2,2,2,1,4,1,2,3,3,3,3,3,3,2,1,3,3,3,3,2,2,4,4,2,4,4,3,4,3,"MQLs from the last campaign were mostly students and consultants, not buyers.",Staff one more SE per Enterprise pod for competitive bake-offs.,
DT-2026Q2-0028,DemoTech,DT-10028,Solutions Consultant,Individual Contributor,Mid-Market,"San Francisco, CA (HQ)",6–12 months,7,2025-04-02,3,4,2,4,3,4,4,3,4,4,3,3,4,3,3,4,4,3,4,5,2,4,3,4,3,4,4,3,3,3,3,4,2,4,4,4,2,4,4,3,2,5,4,3,Security questionnaire responses are copy-paste from last year and buyers catch it.,Run monthly live objection labs instead of async enablement modules.,SDR-to-AE handoffs lose context — I re-discover pain points on the first call every time.
DT-2026Q2-0029,DemoTech,DT-10029,Sales Enablement Manager,Individual Contributor,Corporate / GTM,"Austin, TX",5+ years,104,2025-05-02,4,4,3,3,4,4,5,5,4,5,4,4,3,4,3,5,4,4,2,4,5,5,4,3,3,3,5,3,4,4,4,5,5,4,5,3,3,3,3,4,4,5,4,3,Accelerators kick in too late — I don't feel rewarded for landing lighthouse logos.,Simplify the comp plan to one page with worked examples.,Multi-year deal splits are unclear when CS owns the expansion motion.
DT-2026Q2-0030,DemoTech,DT-10030,Sales Manager,Front-line Manager,Commercial,Remote — US East,0–6 months,5,2025-05-15,3,2,3,3,2,5,3,2,4,2,5,4,2,2,3,2,4,2,2,2,4,3,3,3,3,3,4,3,2,2,4,2,3,2,2,2,4,4,2,3,4,5,4,4,All-hands celebrates product velocity; sellers are drowning in half-baked releases.,Build demo environment stability into our own dogfooding SLA.,Marketing promises 'demo transformation in 30 days' and buyers expect magic on call one.
DT-2026Q2-0031,DemoTech,DT-10031,SDR,Individual Contributor,Commercial,Remote — Canada,6–12 months,8,2025-05-20,3,2,3,3,4,3,4,2,3,4,4,3,3,3,3,2,3,1,4,1,3,3,2,3,3,3,3,3,3,4,2,3,3,3,3,4,3,5,2,3,3,4,5,4,Inbound volume dropped after we changed the website — outbound isn't picking up the slack.,Refresh ROI and CFO content for mid-market — stop making AEs rebuild decks.,Marketing promises 'demo transformation in 30 days' and buyers expect magic on call one.
DT-2026Q2-0032,DemoTech,DT-10032,SDR,Individual Contributor,Commercial,Remote — US East,2–5 years,55,2025-05-18,4,4,4,4,3,4,4,4,3,3,3,4,2,4,4,2,3,3,4,3,4,3,3,4,3,3,4,3,3,2,3,3,4,3,4,3,3,4,4,3,3,4,3,4,Legal review on enterprise deals takes 2–3 weeks and champions go dark.,Run monthly live objection labs instead of async enablement modules.,Marketing promises 'demo transformation in 30 days' and buyers expect magic on call one.
DT-2026Q2-0033,DemoTech,DT-10033,RevOps Analyst,Individual Contributor,Corporate / GTM,Remote — Canada,1–2 years,24,2025-04-20,1,4,4,2,2,3,4,4,3,3,4,3,3,3,4,3,4,3,4,5,2,4,5,3,4,3,4,4,3,4,2,3,4,5,3,4,4,2,3,3,3,4,4,5,Forecasting feels like a political exercise instead of an honest pipeline review.,Cap legal review SLA at 5 business days for deals under $150K ARR.,
DT-2026Q2-0034,DemoTech,DT-10034,Strategic AE,Individual Contributor,Strategic,Remote — US East,1–2 years,18,2025-05-10,4,4,2,5,4,2,4,3,3,5,3,4,3,4,4,4,4,2,4,4,3,3,3,3,3,3,2,4,4,4,4,3,4,3,5,3,3,3,4,3,2,3,4,4,SPIFF rules changed mid-quarter and nobody could explain the clawback logic.,Publish a single source of truth for stage definitions and enforce it in Gong.,Multi-year deal splits are unclear when CS owns the expansion motion.
DT-2026Q2-0035,DemoTech,DT-10035,Solutions Consultant,Individual Contributor,Mid-Market,"San Francisco, CA (HQ)",5+ years,86,2025-05-06,5,3,5,3,5,4,5,5,3,5,3,3,5,3,3,3,4,4,3,4,4,5,4,3,4,3,5,2,4,2,4,4,4,4,3,4,4,4,4,2,3,5,5,4,Legal review on enterprise deals takes 2–3 weeks and champions go dark.,Staff one more SE per Enterprise pod for competitive bake-offs.,Competitive battlecards are three months stale the moment a competitor ships something.
DT-2026Q2-0036,DemoTech,DT-10036,Mid-Market AE,Individual Contributor,Mid-Market,Remote — EMEA,5+ years,117,2025-05-23,5,5,3,5,4,4,5,5,3,3,2,3,2,3,3,4,3,1,4,4,3,3,3,3,3,3,3,3,2,4,3,4,3,3,2,3,2,4,3,4,2,4,3,3,Competitive battlecards are three months stale the moment a competitor ships something.,Build demo environment stability into our own dogfooding SLA.,Product marketing launches features before sales knows how to position them.
DT-2026Q2-0037,DemoTech,DT-10037,Commercial AE,Individual Contributor,Commercial,"New York, NY",2–5 years,28,2025-04-16,5,4,4,2,5,4,2,5,3,5,4,3,3,3,2,3,3,4,2,3,3,3,4,4,3,5,3,3,4,3,3,4,5,3,5,5,2,4,4,4,4,5,5,4,Onboarding was strong on product but weak on enterprise procurement cycles.,Refresh ROI and CFO content for mid-market — stop making AEs rebuild decks.,
DT-2026Q2-0038,DemoTech,DT-10038,Mid-Market AE,Individual Contributor,Mid-Market,"Denver, CO",2–5 years,28,2025-04-17,4,4,5,3,2,3,5,3,5,2,3,4,3,5,2,3,4,4,3,3,3,5,3,5,4,3,4,4,3,3,4,5,4,4,4,4,3,4,3,4,4,5,3,4,Competitive battlecards are three months stale the moment a competitor ships something.,Standardize SDR-to-AE handoff notes with required fields in Salesforce.,Marketing promises 'demo transformation in 30 days' and buyers expect magic on call one.
DT-2026Q2-0039,DemoTech,DT-10039,Sales Engineer,Individual Contributor,Enterprise,"Denver, CO",5+ years,98,2025-04-16,4,5,3,5,4,5,4,3,4,2,3,2,3,4,3,4,2,4,3,4,4,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,4,4,3,4,2,4,3,5,Enablement content is built for Commercial but I'm Enterprise — I adapt everything.,Give remote reps the same GTM briefings HQ gets in hallway conversations.,All-hands celebrates product velocity; sellers are drowning in half-baked releases.
DT-2026Q2-0040,DemoTech,DT-10040,BDR,Individual Contributor,Mid-Market,Remote — EMEA,1–2 years,21,2025-04-17,5,4,5,3,3,3,4,3,4,4,2,3,2,2,3,2,3,3,3,3,2,3,3,3,4,2,4,1,3,3,3,4,2,3,3,4,3,4,1,2,4,5,4,2,Onboarding was strong on product but weak on enterprise procurement cycles.,Staff one more SE per Enterprise pod for competitive bake-offs.,Security questionnaire responses are copy-paste from last year and buyers catch it.
DT-2026Q2-0041,DemoTech,DT-10041,Enterprise AE,Individual Contributor,Enterprise,"San Francisco, CA (HQ)",2–5 years,35,2025-04-16,4,3,3,5,5,4,5,4,5,3,3,3,5,3,3,4,3,3,3,3,4,4,4,2,4,4,3,2,4,2,2,3,4,2,4,3,4,3,4,4,5,5,3,3,Deal desk gives different pricing guidance depending on who is on shift.,Standardize SDR-to-AE handoff notes with required fields in Salesforce.,Product marketing launches features before sales knows how to position them.
DT-2026Q2-0042,DemoTech,DT-10042,Mid-Market AE,Individual Contributor,Mid-Market,"Toronto, Canada",2–5 years,49,2025-05-06,3,3,5,4,4,3,5,4,4,3,4,3,4,4,3,4,3,4,4,4,3,3,4,4,5,4,3,4,3,4,5,5,5,2,3,4,3,4,3,5,5,5,3,4,The Commercial team culture is strong — people share what works on Slack.,Refresh ROI and CFO content for mid-market — stop making AEs rebuild decks.,
DT-2026Q2-0043,DemoTech,DT-10043,Mid-Market AE,Individual Contributor,Mid-Market,Remote — Canada,6–12 months,7,2025-04-10,4,3,4,3,4,3,2,4,3,3,3,4,3,2,4,4,2,4,1,1,3,2,3,5,2,5,4,5,3,4,4,3,4,3,4,2,5,4,4,2,4,4,3,4,My patch is geographically huge for an Enterprise rep — travel eats selling time.,Staff one more SE per Enterprise pod for competitive bake-offs.,Product marketing launches features before sales knows how to position them.
DT-2026Q2-0044,DemoTech,DT-10044,Enterprise AE,Individual Contributor,Enterprise,Remote — EMEA,1–2 years,24,2025-05-18,5,4,3,2,2,3,5,4,3,3,2,3,3,2,4,3,3,3,3,4,3,2,3,3,3,4,3,1,4,5,2,3,4,3,4,2,3,4,4,2,3,4,3,3,Our demo platform is genuinely best-in-class — buyers feel it on the first call.,Staff one more SE per Enterprise pod for competitive bake-offs.,The Commercial team culture is strong — people share what works on Slack.
DT-2026Q2-0045,DemoTech,DT-10045,Enterprise AE,Individual Contributor,Enterprise,"Austin, TX",5+ years,108,2025-04-17,4,4,2,3,4,5,5,5,4,4,3,3,3,3,3,3,3,2,4,4,4,3,3,5,4,5,3,3,2,2,2,3,4,3,4,2,3,5,4,4,4,5,4,5,Security questionnaire responses are copy-paste from last year and buyers catch it.,Build demo environment stability into our own dogfooding SLA.,Enablement content is built for Commercial but I'm Enterprise — I adapt everything.
DT-2026Q2-0046,DemoTech,DT-10046,Mid-Market AE,Individual Contributor,Mid-Market,Remote — US East,2–5 years,36,2025-04-16,3,4,4,3,5,2,4,4,3,5,3,3,2,3,3,3,2,2,3,4,3,4,4,3,4,3,2,3,3,4,4,3,3,2,3,4,2,4,3,3,4,4,3,5,Our demo platform is genuinely best-in-class — buyers feel it on the first call.,Refresh ROI and CFO content for mid-market — stop making AEs rebuild decks.,The Commercial team culture is strong — people share what works on Slack.
DT-2026Q2-0047,DemoTech,DT-10047,CRO,Executive,Corporate / GTM,Remote — Canada,2–5 years,35,2025-04-26,4,4,5,4,4,5,4,5,4,5,5,2,4,3,5,3,5,2,4,3,4,3,3,2,4,3,3,3,3,4,2,4,4,4,3,4,5,4,5,4,5,5,4,3,Accelerators kick in too late — I don't feel rewarded for landing lighthouse logos.,Staff one more SE per Enterprise pod for competitive bake-offs.,
DT-2026Q2-0048,DemoTech,DT-10048,Mid-Market AE,Individual Contributor,Mid-Market,Remote — US West,5+ years,92,2025-05-11,4,3,2,3,3,4,4,4,5,5,3,3,4,3,5,3,3,4,4,4,4,5,3,5,4,4,4,3,2,3,3,3,3,2,4,3,4,4,3,3,3,3,4,3,Our demo platform is genuinely best-in-class — buyers feel it on the first call.,Refresh ROI and CFO content for mid-market — stop making AEs rebuild decks.,Our demo platform is genuinely best-in-class — buyers feel it on the first call.
DT-2026Q2-0049,DemoTech,DT-10049,SDR,Individual Contributor,Commercial,"Toronto, Canada",5+ years,69,2025-05-25,4,2,3,3,5,4,4,4,4,4,4,2,3,3,4,5,4,4,3,2,2,4,3,5,4,5,4,3,3,3,4,2,4,5,4,4,3,3,4,3,3,5,4,4,Territory carve-up left me with a lot of long-dormant accounts and no warm inbound.,Run monthly live objection labs instead of async enablement modules.,
DT-2026Q2-0050,DemoTech,DT-10050,BDR,Individual Contributor,Mid-Market,Remote — Canada,1–2 years,21,2025-04-25,1,4,4,4,4,4,5,3,3,4,3,2,3,4,3,2,3,3,5,4,3,3,2,5,4,2,3,2,1,4,3,4,4,3,3,3,3,2,3,4,4,4,3,4,Deal desk gives different pricing guidance depending on who is on shift.,Publish a single source of truth for stage definitions and enforce it in Gong.,Deal desk gives different pricing guidance depending on who is on shift.
DT-2026Q2-0051,DemoTech,DT-10051,Sales Manager,Front-line Manager,Commercial,"San Francisco, CA (HQ)",1–2 years,19,2025-05-17,5,4,3,3,3,4,3,4,4,4,4,4,3,3,3,3,4,3,2,4,5,5,4,3,5,3,3,4,2,4,3,4,3,4,4,3,4,1,4,4,3,4,4,3,Marketing promises 'demo transformation in 30 days' and buyers expect magic on call one.,Run monthly live objection labs instead of async enablement modules.,We need ROI calculators for mid-market CFOs — I build them in Google Sheets weekly.
DT-2026Q2-0052,DemoTech,DT-10052,Sales Manager,Front-line Manager,Commercial,Remote — US East,1–2 years,20,2025-04-24,5,3,3,3,3,4,3,5,5,2,5,3,4,2,4,4,3,4,5,4,3,3,5,3,2,3,2,5,3,3,4,4,4,4,1,4,3,4,3,5,3,3,3,4,"My manager runs tight pipeline reviews with real coaching, not just inspection.",Publish a single source of truth for stage definitions and enforce it in Gong.,
DT-2026Q2-0053,DemoTech,DT-10053,Enterprise AE,Individual Contributor,Enterprise,"Austin, TX",0–6 months,4,2025-05-11,2,4,4,3,3,4,4,4,3,2,3,3,4,3,4,3,2,4,3,3,3,3,2,4,3,3,2,3,2,2,4,1,4,4,2,4,3,2,3,5,4,4,4,3,The Commercial team culture is strong — people share what works on Slack.,Staff one more SE per Enterprise pod for competitive bake-offs.,RevOps fixed forecasting dashboards this quarter and it saved me hours every week.
DT-2026Q2-0054,DemoTech,DT-10054,SDR,Individual Contributor,Commercial,Remote — Canada,1–2 years,24,2025-05-16,5,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,4,5,2,3,3,1,4,3,3,4,2,3,2,3,3,4,4,5,3,3,4,3,4,1,4,4,3,3,Territory carve-up left me with a lot of long-dormant accounts and no warm inbound.,Refresh ROI and CFO content for mid-market — stop making AEs rebuild decks.,Security questionnaire responses are copy-paste from last year and buyers catch it.
DT-2026Q2-0055,DemoTech,DT-10055,Commercial AE,Individual Contributor,Commercial,"Austin, TX",6–12 months,11,2025-05-26,3,3,2,3,3,5,5,5,5,2,4,3,4,4,4,3,4,3,3,4,4,3,4,5,4,3,4,4,3,3,2,3,5,4,3,3,3,4,5,3,2,5,3,4,Forecasting feels like a political exercise instead of an honest pipeline review.,Refresh ROI and CFO content for mid-market — stop making AEs rebuild decks.,
DT-2026Q2-0056,DemoTech,DT-10056,Regional Sales Director,Director+,Strategic,"London, UK",2–5 years,43,2025-04-06,3,2,5,3,5,4,5,4,5,3,4,5,4,3,4,3,4,3,4,3,3,2,4,3,4,4,4,4,3,3,2,5,5,3,3,4,3,4,2,4,3,3,4,4,Partner referrals arrive with no context and unrealistic close timelines.,Standardize SDR-to-AE handoff notes with required fields in Salesforce.,Legal review on enterprise deals takes 2–3 weeks and champions go dark.
DT-2026Q2-0057,DemoTech,DT-10057,SDR,Individual Contributor,Commercial,"Austin, TX",5+ years,71,2025-04-18,5,3,2,5,5,3,3,5,3,3,4,4,4,3,2,3,2,3,3,4,2,4,3,4,4,4,4,2,3,3,4,5,5,3,5,5,2,4,4,5,3,5,3,4,RevOps fixed forecasting dashboards this quarter and it saved me hours every week.,Give remote reps the same GTM briefings HQ gets in hallway conversations.,The Commercial team culture is strong — people share what works on Slack.
DT-2026Q2-0058,DemoTech,DT-10058,Enterprise AE,Individual Contributor,Enterprise,"Austin, TX",2–5 years,31,2025-04-22,3,5,5,4,2,4,5,3,2,4,2,4,3,4,5,3,2,3,4,2,3,3,4,3,5,4,4,2,1,4,1,5,3,2,4,5,4,4,3,4,4,5,2,4,Security questionnaire responses are copy-paste from last year and buyers catch it.,Staff one more SE per Enterprise pod for competitive bake-offs.,"MQLs from the last campaign were mostly students and consultants, not buyers."
DT-2026Q2-0059,DemoTech,DT-10059,Enterprise AE,Individual Contributor,Enterprise,Remote — Canada,2–5 years,31,2025-04-19,4,2,5,2,4,3,4,3,3,4,2,4,3,3,2,4,3,3,2,3,3,4,3,3,5,2,3,1,3,3,2,2,3,5,3,3,2,4,3,4,3,4,5,4,RevOps fixed forecasting dashboards this quarter and it saved me hours every week.,Publish a single source of truth for stage definitions and enforce it in Gong.,
